user_id_experi,whether_active
16630250,No
409166295,No
60760606,No
1561239990,No
227640177,No
744083353431908352,No
13220972,No
1017546403,No
1056873374,No
1532349217,No
2460952989,No
3329627669,No
3258741314,No
1708132520,No
145552068,No
1694032592,No
126296982,No
752434454,No
97015006,No
493514962,No
3188314726,No
16999368,No
80354812,No
22195874,No
463819805,No
182114612,No
45750321,No
793877800289574912,No
239057382,No
281620069,No
41451604,No
21112079,No
234004339,No
3234250197,No
156171571,No
440069397,No
134019610,No
3195003018,No
768214341246078976,No
1307262936,No
1860643051,No
1955591882,No
724573190,No
130496112,No
2980928403,No
48097506,No
762683882940534784,No
231052516,No
101599701,No
112354863,No
2467103148,Yes
73984919,No
3378924153,No
186287415,No
230626212,No
30981617,No
2450096531,No
96982320,No
36136637,No
2980059869,No
489094745,No
2404991192,No
16223638,No
16388482,No
4387461,No
48938077,No
723243194,No
161449578,No
143616096,No
860548147,No
44578594,No
2790889266,No
18596959,No
2151837433,No
43205023,No
223570235,No
524390443,No
79725820,No
33490437,No
16049859,No
479445356,No
32131007,No
3091359827,No
225372484,No
23695124,No
30112164,No
283512386,No
40078503,No
80040576,No
196651500,No
20158291,No
2213419554,No
127919462,No
334116390,No
729424684631130112,No
166720784,No
770726787466878976,No
36278363,No
2395255403,No
331481523,No
541238494,No
1180539758,No
287128801,No
619427787,Yes
761671164,No
44645600,No
994686457,No
2353242859,No
42853357,No
149431832,No
20045431,No
78126698,No
3082851141,No
41917868,No
374438999,No
86668987,No
329304994,No
14511067,No
4028697493,No
885336408,Yes
789767226249412608,No
3346971111,No
953901134,No
1923986118,No
248361725,No
31343671,No
16669765,No
4494066677,No
467046076,No
4827082615,No
219151894,No
19815917,No
19860569,No
3973937112,No
96779709,No
470412760,No
413233775,No
164623724,No
77827976,No
70391352,No
35323518,No
245323551,No
1146559795,No
103140221,No
4245183196,No
3127117599,No
2825383630,No
1876523509,No
39936715,No
756663585707667457,No
121513127,No
778378277740122112,No
18240730,No
2200072755,No
1859308328,No
574136897,No
746637564,No
48826221,No
32653092,No
51267605,No
220095890,No
418264644,No
71177611,No
7765902,No
1413124490,No
611331270,No
16169825,No
22677368,No
170591589,No
1382631883,No
47168113,No
14715811,No
112759229,No
563818641,No
2953950819,No
40573844,No
123063443,No
16470450,No
2488873374,No
25113236,No
2517601038,No
767338929112567809,No
101496743,No
4666990218,No
52669647,No
600235351,No
49263856,Yes
283168534,No
22078940,No
45646219,No
748311795731881984,No
94114912,No
3822557232,No
1426939406,Yes
117022992,No
841448508,No
321634113,No
111567872,No
230094546,No
227910163,No
77020260,No
2413842998,No
124711644,No
359299986,No
4361782161,No
218100045,No
444561240,No
449556346,No
141514699,No
68398349,Yes
13185272,No
34403734,No
1977690018,No
72701241,No
98873458,No
40251516,No
46228767,Yes
2303638746,No
146850968,No
7287622,No
2886602575,No
40769391,No
166096228,No
158697330,No
264218502,No
2163213144,No
28417220,No
3318597149,No
49401720,No
1684636556,No
109469032,No
1328586871,No
216030405,No
209180682,No
481567669,No
2774375013,No
339825758,No
273988875,No
331483931,No
6927562,No
155014004,No
180726357,No
35857831,No
88541237,No
2586648276,No
113181276,No
20479369,No
6456692,No
2197473794,No
388545701,No
87287475,No
15212202,No
1497020376,No
21420819,No
394339719,No
347780670,No
412218454,No
151471706,No
444045584,No
3241686193,No
307071884,No
164729685,No
211314838,No
4252076728,No
14286542,No
21671483,No
3388544465,No
23845398,No
2897133662,No
300931329,No
28450322,No
207016716,No
18267432,No
41457911,No
468476916,No
8922082,No
28291808,No
617875930,No
28070351,No
14178066,No
772890069938081793,No
637224461,No
1056165000,No
470553237,No
2573219121,No
49750455,No
391010001,No
1299813354,No
615138587,No
1259743393,No
619522261,No
21875869,No
44737051,No
4708108637,No
2998233178,No
36746331,No
2927219833,No
12144232,No
800813617,No
3304637221,No
132345637,No
21287437,No
101879535,No
2780953026,No
3758506395,No
697098786942885888,No
2340821,No
603712296,No
57340573,No
781965044892524544,No
391582041,No
2735624285,No
79378269,No
1107690745,No
270396051,No
1015987736,No
1433596662,No
901169144,No
336941297,No
90924839,No
333867039,No
1587800580,No
15374193,No
898250437,No
120838314,No
19919515,Yes
1282440788,No
2231539655,No
153682905,No
395496665,No
235546963,No
2856962985,No
236599759,No
792816445637926912,No
97359917,No
264910184,No
85868833,No
16059827,No
107422115,No
322230922,No
110614239,No
118712723,No
43370459,No
86866410,No
182811243,No
350308945,No
872616324,No
218176653,No
751094263870545924,No
90510002,No
467554781,No
160326340,No
470228513,No
51824516,No
17030728,No
367853187,No
953947501,Yes
23756473,No
20066293,No
2572375764,No
189975748,No
72342053,No
55160211,No
84390105,No
2189027816,Yes
173736457,No
2960386147,No
726316472947986432,No
230429587,No
1539218622,No
28397661,No
727790783437246465,No
67290915,No
2854616179,No
17641725,No
2974841467,No
2366888623,Yes
2851697636,No
746674676492013568,No
569410380,No
3198506329,No
794216898644869120,No
2535272502,No
471697777,No
173297485,No
2488775060,No
185954790,No
329538941,No
1513009609,No
543571642,Yes
62304497,No
40936936,No
780540098,No
2171653297,No
3679987464,No
3191823195,No
16611081,No
86762070,Yes
588300950,No
